speaker,url,linkbase,xpathLinks,xpathTitles,xpathDates,regexDates,strToDates,country,language,selenium,xpbutton,xpcookie,process,xpathSpeech,regexSpeech,regexControl,start,fmt_url
M. Rutte,https://www.government.nl/government/members-of-cabinet/mark-rutte/documents?type=Speech&page={},https://www.government.nl,"//*[@class=""common results""]/a","//*[@class=""publication""]/h3","//*[@class=""meta""]", *Speech \| (.*),%d-%m-%Y,Netherlands,,0,,,,"/html/body//div[@class=""article""]//p/text()",,,,
M. Rutte,https://www.rijksoverheid.nl/regering/bewindspersonen/mark-rutte/documenten?type=Toespraak&pagina={},https://www.rijksoverheid.nl,"//*[@class=""common results""]/a","//*[@class=""publication""]/h3","//*[@class=""meta""]", *Toespraak \| (.*),%d-%m-%Y,Netherlands,,0,,,,"//div[@id=""content""]/p[not(@class)]//text()",,,,
A. Merkel,https://www.bundeskanzlerin.de/bkin-en/news/864130!search?formState=eNptj8EOgjAMhl_F9MwBFA3ZTcU76tF4mKPgEthwKyohvLtFQ7h4-9t839-0h1wSnqQp0YPoIdnE0SoZU-FsDcK0VRUA2V8ahgAKqZBmNgZxgV22PTeI6g5XJhpZaiNJWzNSzr6YjtYBeJKOQISM2KLwSFP9o0XXTUNl1dc9_ltu65umVHOTUQgCliHwPYfeH55oaM-_lHbWvB0PAr5Hp6lkh3nKyCJHr1hUrXNsZbLkrmj4AJUjWvw&page={},https://www.bundeskanzlerin.de,/html/body/div[1]/div[1]/div[3]/div/div/div[1]/div/div/div[2]/div/ol/li[*]/h3/a,/html/body/div[1]/div[1]/div[3]/div/div/div[1]/div/div/div[2]/div/ol/li[*]/h3/a,/html/body/div[1]/div[1]/div[3]/div/div/div[1]/div/div/div[2]/div/ol/li[*]/p,(.*),"%b %d, %Y-",Germany,german,0,,,,"//div[@id=""content""]/p[not(@class)]//text()",,,,
A. Merkel,https://www.bundeskanzlerin.de/bkin-de/aktuelles/70298!search?formState=eNptj8EOgjAMhl_F9MwBSdS4G4p31KPxMEeHJLDhVlRCeHc7DXrx9rf5vr_pAIUkPEhTogcxwCpO1kkI2tkGhOnqOgKynzSOEWipkL7oEsQJNnl6bBHVFc4MtLKsjKTKmgA5-2B4vojAk3QUIjNWa4801d86dP001Fa95f2_ZdpcKsoqrjIKQUASAx906P3ujoa2_Eppf5q34SLgMzhtLXssMkZmBXrFouqcYyuXJXcl4wtfGVrH&page={},https://www.bundeskanzlerin.de,/html/body/div[1]/div[1]/div[3]/div/div/div[1]/div/div/div[2]/div/ol/li[*]/h3/a,/html/body/div[1]/div[1]/div[3]/div/div/div[1]/div/div/div[2]/div/ol/li[*]/h3/a,/html/body/div[1]/div[1]/div[3]/div/div/div[1]/div/div/div[2]/div/ol/li[*]/p,".*, (.*)-",%d. %B %Y,Germany,german,0,,,,"/html/body//div[@class=""basepage_pages""]/p/text()",,,,
A. Babis,https://www.vlada.cz/scripts/detail.php?pgid=1016&conn=10175&pg=&conn=10175&pg={},https://www.vlada.cz,"//*[@class=""record""]/h2/a","//*[@class=""record""]/h2/a","//*[@class=""info""]",(.*),%d. %m. %Y,Czech Republic,,0,,,,"/html/body//div[@class=""detail""]/p",,,,
A. Babis,https://www.vlada.cz/scripts/detail.php?pgid=1013&conn=10155&pg=&conn=10155&pg={},https://www.vlada.cz,"//*[@class=""record""]/h2/a","//*[@class=""record""]/h2/a","//*[@class=""info""]",(.*),%d. %m. %Y,Czech Republic,,0,,,,"/html/body//div[@class=""detail""]/p",,,,
E. Macron,https://www.vie-publique.fr/recherche?search_api_fulltext=emmanuel%20macron&sort_by=field_update_date&f%5B0%5D=categories%3Adiscours&f%5B0%5D=categories%3Adiscours&page={},,"/html/body//h2/a[@class=""link-multiple""]",/html/body//span[@class='field--name-title'],"/html/body//time[@class=""datetime""]",(.*),%d/%m/%Y,France,,0,,,,"/html/body//div[@class=""discour--desc""]/span/p/text()",,,0,
G. Conte,http://www.governo.it/it/interventi?page={},http://www.governo.it,/html/body//a[h2],/html/body//h2[@class='h4'],"/html/body//div[@class=""h6 clearfix dataleft""]",(.*),%d %B %Y,Italy,italian,0,,,,"/html/body//div[@class=""body_intervista""]/p/text()",,,,
M. Frederiksen,http://www.stm.dk/index.dsp?page=11004&action=page_overview_search&l1_valg=3420&l2_valg=3440,http://www.stm.dk/,/html/body//div[@class = 'headline']/a,/html/body//div[@class = 'headline']/a,/html/body//div[@class = 'headline']/span,(.*),%d.%m.%y,Denmark,,0,,,,"/html/body//div[@class=""maininner maininner-page""]/p[not(@class)]",.*Check against delivery(.*),,,0
M. Frederiksen,http://www.stm.dk/index.dsp?page=7990&action=page_overview_search&l1_valg=3406&l2_valg=3433,http://www.stm.dk/,/html/body//div[@class = 'headline']/a,/html/body//div[@class = 'headline']/a,/html/body//div[@class = 'headline']/span,(.*),%d.%m.%y,Denmark,,0,,,,"/html/body//div[@class=""maininner maininner-page""]/p[not(@class)]",.*Check against delivery(.*),,,0
E. Solberg,https://www.regjeringen.no/en/whatsnew/speeches_articles/id1334/?ownerid=875&page={},https://www.regjeringen.no,"//*[@id=""searchResultsListing""]/li[*]/h2/a","//*[@id=""searchResultsListing""]/li[*]/h2/a","//*[@id=""searchResultsListing""]/li[*]/div/span[1]",(.*),%d/%m/%Y,Norway,,0,,,,"//div[@class=""article-body""]/p[not(@style)]",,,,
E. Solberg,https://www.regjeringen.no/no/aktuelt/taler_artikler/id1334/?ownerid=875&page={},https://www.regjeringen.no,"//*[@id=""searchResultsListing""]/li[*]/h2/a","//*[@id=""searchResultsListing""]/li[*]/h2/a","//*[@id=""searchResultsListing""]/li[*]/div/span[1]",(.*),%d.%m.%Y,Norway,,0,,,,"//div[@class=""article-body""]/p[not(@style)]",,,,
J.Ratas,https://www.valitsus.ee/en/news?title=&title_op=allwords&source=23&date=All&date_custom%5Bmin%5D=&date_custom%5Bmax%5D=&field_news_subject_tid_i18n=139&page={},https://www.valitsus.ee,"//*[@id=""block-system-main""]/div/div/div/div[1]/div[*]/div[2]/h2/a","//*[@id=""block-system-main""]/div/div/div/div[1]/div[*]/div[2]/h2/a","//*[@id=""block-system-main""]/div/div/div/div[1]/div[*]/div[2]/div[1]",(.*),%d.%m.%Y,Estonia,,0,,,,"/html/body//div[@class=""field-item even""]/p[1]/text()",,,,
J.Ratas,https://www.valitsus.ee/et/uudised?title=&title_op=allwords&source=23&date=All&date_custom%5Bmin%5D=&date_custom%5Bmax%5D=&field_news_subject_tid_i18n=139&page={},https://www.valitsus.ee,"//*[@id=""block-system-main""]/div/div/div/div[1]/div[*]/div[2]/h2/a","//*[@id=""block-system-main""]/div/div/div/div[1]/div[*]/div[2]/h2/a","//*[@id=""block-system-main""]/div/div/div/div[1]/div[*]/div[2]/div[1]",(.*),%d.%m.%Y,Estonia,,0,,,,"/html/body//div[@class=""field-item even""]/p[1]/text()",,,,
B. Johnson,https://www.gov.uk/search/news-and-communications?order=updated-newest&page={}&people%5B%5D=boris-johnson,https://www.gov.uk,"//*[@class=""gem-c-document-list__item  ""]/a","//*[@class=""gem-c-document-list__item  ""]/a","//*[@class=""gem-c-document-list__item  ""]//time",(.*),%d %B %Y,United Kingdom,,0,,,,"//*[@id=""content""]/div[3]/div[1]/div[1]/div[2]/div//text()",,,,
S. Loefven,https://www.government.se/speeches/?page={},,"/html/body//div[@class=""sortcompact""]/a","/html/body//div[@class=""sortcompact""]/a","/html/body//div[@class=""js-filter-result ""]//div[""block—timeLinks""]/p/time",(.*),%d %B %Y,Sweden,,0,,,,"//div[@class=""has-wordExplanation""]/p//text()",,'.*Stefan Löfven.*|.*Prime Minister.*‘,,
